"","CowID","Cow.Birth.Date","Farm.Name","Farm.No","Cow.Breed","Cow.Exit.Date","BS.DATE","BS.Month","BS.MS.Date.Difference","BS.DIM","Hapto.Result","Hapto.Log","Hapto.0.1","Hapto0.35","Hapto.HML","Hapto.HL","BS.NEFA","BS.BHBA","MS.Date.Taken","MS.Time.Taken","Calving.Date","Calving.No","Hfr.or.Cow","MS.DIM","MS.Date.Analyzed","Milk.Yield","MS.Milk.Yield","MS.Fat","MS.Protein","MS.S.Cell.Count","MS.Lactose","MS.Urea","MS.pH","MS.Acetone","MS.BHBA","MS.NEFA","MS.NSFA","MS.MFA","MS.PFA","MS.SFA","MS.Palmeic","MS.Stearine","MS.Oleic","CE.Date","CE.Temp","CE.Environ.Temp","CE.Fat.Level","CE.Skin.Dehydration","CE.Stom.Tension","CE.Stom.Layering","CE.Stom.Fluid.Movement","CE.Stom.Ping","CE.Stom.Fullness","CE.Stom.Noise.Freq","CE.Waste.Consistency","CE.Waste.Digestion","CE.Locomotion.Score","CE.Lame","BS.NEFA.Log","BS.BHBA.Log","MS.S.Cell.Count.Log","MS.BHBA.Log","MS.Acetone.Log","BS.NEFA.0.7","BS.BHBA.1.2","Hapto0.35.2","BS.Month2","BS.Month_warm","CE.Stom.Fullness01","CE.Stom.Tension01"
"1","276000941090648",2007-10-19,"Stadler","14184137142","01",NA,2018-11-06,"11-2018",1,21,597.5,6.39275428380567,"0","0","0","1",0.23,1.35,2018-11-05,"06:42:00",2018-10-16,9,"cow",20,2018-11-07,39.9,21.2,4.32,2.79,16,4.73,24.4,6.64,10,20,6.3,14.2,1.142,0.144,2.653,1.172,0.471,1.061,2018-11-06,38.2,8,12,"phy","phy","1","obb","obb","norm",NA,"norm","maess","3","1",-1.46967597005894,0.300104592450338,2.77258872223978,2.99573227355399,2.30258509299405,"0","1","0","11-2018","0","0","0"
"2","276000951311013",2016-05-31,"Stadler","14184137142","01",NA,2018-07-24,"07-2018",1,15,280,5.63478960316925,"0","0","0","1",0.68,1.49,2018-07-23,"12:00:00",2018-07-09,1,"hfr",14,2018-07-26,23.3,23.3,4.7,3.05,298,4.86,52.2,6.65,140,90,9.9,19.6,1.653,0.194,2.569,1.094,0.653,1.596,2018-07-24,38.7,19.3,19,"phy","phy","1","obb","obb","abnorm",NA,"norm","gut","1","0",-0.385662480811985,0.398776119957368,5.6970934865054,4.49980967033027,4.9416424226093,"0","1","0","07-2018","1","1","0"
"3","276000951311013",2016-05-31,"Stadler","14184137142","01",NA,2018-08-07,"08-2018",0,29,741.5,6.60867516157799,"0","0","0","1",0.48,1.78,2018-08-07,"12:00:00",2018-07-09,1,"hfr",29,2018-08-08,NA,14.9,4.21,2.85,231,4.97,26,6.68,140,90,8,15.9,1.319,0.137,2.435,1.115,0.534,1.199,2018-08-07,38.4,22.4,12,"phy","phy","1","obb","obb","abnorm",NA,"norm","gut","1","0",-0.7339691750802,0.576613364303994,5.44241771052179,4.49980967033027,4.9416424226093,"0","1","0","08-2018","1","1","0"
"4","276000947406879",2012-08-14,"Stadler","14184137142","01",NA,2018-12-11,"12-2018",1,16,280,5.63478960316925,"0","0","0","1",0.32,1.46,2018-12-10,"01:04:00",2018-11-25,5,"cow",15,2018-12-13,41.6,20.7,6.12,3.42,21,4.82,28.1,6.66,170,170,4.9,22.9,1.878,0.207,3.726,1.422,0.735,1.802,2018-12-11,38.2,3.9,16,"phy","phy","1","obb","obb","abnorm",NA,"norm","maess","2","0",-1.13943428318836,0.378436435720245,3.04452243772342,5.13579843705026,5.13579843705026,"0","1","0","12-2018","0","1","0"
"5","276000944234103",2010-03-13,"Stadler","14184137142","01",NA,2018-12-04,"12-2018",1,16,1903.5,7.55144957582255,"1","0","0","1",0.33,1.26,2018-12-03,"10:29:00",2018-11-18,7,"cow",15,2018-12-10,30.4,11.9,5.04,2.89,10,4.81,20,6.66,120,90,4,19.9,1.657,0.182,2.868,1.235,0.637,1.534,2018-12-04,38.5,11.9,13,"phy","phy","1","obb","obb","abnorm",NA,"norm","gut","1","0",-1.10866262452161,0.231111720963387,2.30258509299405,4.49980967033027,4.78749174278205,"0","1","0","12-2018","0","1","0"
"6","276000941090648",2007-10-19,"Stadler","14184137142","01",NA,2018-11-13,"11-2018",1,28,11584.5,9.35742327667743,"1","1","1","NA",0.22,0.98,2018-11-12,"17:30:00",2018-10-16,9,"cow",27,2018-11-15,41.6,17,5.61,2.76,21,4.8,30,6.64,60,70,5.2,20.1,1.641,0.193,3.375,1.41,0.636,1.582,2018-11-13,38,6,12,"phy","phy","1","obb","obb","norm",NA,"norm","maess","3","1",-1.51412773262978,-0.0202027073175195,3.04452243772342,4.24849524204936,4.0943445622221,"0","0","1","11-2018","0","0","0"
"7","276000947609239",2013-05-21,"Stadler","14184137142","01",NA,2018-08-07,"08-2018",0,11,3850,8.25582842728183,"1","1","0","1",0.5,0.71,2018-08-07,"00:00:00",2018-07-27,4,"cow",11,2018-08-08,NA,12.5,3.82,3.3,19,4.83,16.5,6.7,90,50,6.6,15.7,1.288,0.124,2.09,0.885,0.437,1.199,2018-08-07,38.1,22.4,19,"phy","phy","1","obb","obb","norm",NA,"norm","gut","2","0",-0.693147180559945,-0.342490308946776,2.94443897916644,3.91202300542815,4.49980967033027,"0","0","1","08-2018","1","0","0"
"8","276000945864042",2011-02-23,"Stadler","14184137142","01",NA,2018-12-11,"12-2018",1,22,280,5.63478960316925,"0","0","0","1",0.47,1.28,2018-12-10,"08:12:00",2018-11-19,6,"cow",21,2018-12-13,40.8,11.4,4,3.7,10,4.81,32,6.67,NA,10,3.2,11.6,0.873,0.137,2.64,1.076,0.368,0.805,2018-12-11,38.9,3.9,20,"phy","phy","1","obb","obb","norm",NA,"norm","gut","2","0",-0.755022584278033,0.246860077931526,2.30258509299405,2.30258509299405,NA,"0","1","0","12-2018","0","0","0"
"9","276000950211929",2015-05-16,"Stadler","14184137142","01",2018-09-10,2018-09-04,"09-2018",1,6,12764,9.45438398739813,"1","1","1","NA",0.63,1.32,2018-09-03,"17:30:00",2018-08-29,2,"cow",5,2018-09-05,36.8,36.8,5.7,2.86,249,4.82,36.6,6.67,270,170,7.8,25,2.056,0.209,3.147,1.19,0.742,2.001,2018-09-04,38.2,16.3,17,"phy","phy","1","obb","obb","norm","bis_2","thick","gut","3","1",-0.462035459596559,0.27763173659828,5.51745289646471,5.13579843705026,5.59842195899838,"0","1","1","09-2018","1","0","0"
"10","276000947609214",2012-08-15,"Stadler","14184137142","01",NA,2018-09-18,"09-2018",1,13,4791,8.47449443688312,"1","1","1","NA",0.83,0.76,2018-09-17,"14:08:00",2018-09-05,5,"cow",12,2018-09-20,34.6,12.8,4.44,3.37,66,4.85,18.1,6.62,60,40,6.2,15.4,1.247,0.164,2.689,0.924,0.517,1.169,2018-09-18,38.8,17.8,35,"phy","phy","1","obb","obb","abnorm",NA,"norm","gut","2","0",-0.186329578191493,-0.27443684570176,4.18965474202643,3.68887945411394,4.0943445622221,"1","0","1","09-2018","1","1","0"
